x,w01,w02
0.6036,1.2526,1.7242,
0.6056,1.2772,1.7594,
0.6076,1.3016,1.7942,
0.6096,1.3258,1.8286,
0.6116,1.3498,1.8626,
0.6136,1.3736,1.8962,
0.6156,1.3972,1.9293,
0.6176,1.4206,1.9620,
0.6196,1.4438,1.9943,
0.6216,1.4668,2.0262,
0.6236,1.4896,2.0576,
0.6256,1.5122,2.0886,
0.6276,1.5346,2.1192,
0.6296,1.5568,2.1494,
0.6316,1.5788,2.1792,
0.6336,1.6006,2.2085,
0.6356,1.6223,2.2375,
0.6376,1.6438,2.2660,
0.6396,1.6650,2.2942,
0.6416,1.6861,2.3219,
0.6436,1.7070,2.3493,
0.6456,1.7278,2.3763,
0.6476,1.7483,2.4029,
0.6496,1.7687,2.4291,
0.6517,1.7889,2.4550,
0.6537,1.8089,2.4805,
0.6557,1.8288,2.5057,
0.6577,1.8485,2.5305,
0.6597,1.8680,2.5550,
0.6617,1.8874,2.5791,
0.6637,1.9065,2.6029,
0.6657,1.9256,2.6264,
0.6677,1.9444,2.6496,
0.6697,1.9631,2.6725,
0.6717,1.9816,2.6951,
0.6737,2.0000,2.7174,
0.6757,2.0182,2.7393,
0.6777,2.0363,2.7610,
0.6797,2.0542,2.7825,
